Tip_label f
Acarospora_austroshetlandica 0.08
Acarospora_badiofusca 0.08
Acarospora_bullata 0.08
Acarospora_canadensis 0.08
Acarospora_cervina 0.08
Acarospora_clauzadeana 0.08
Acarospora_complanata 0.08
Acarospora_fulvoviridula 0.08
Acarospora_fuscata 0.08
Acarospora_hilaris 0.08
Acarospora_laqueata 0.08
Acarospora_moenium 0.08
Acarospora_molybdina 0.08
Acarospora_nitrophila 0.08
Acarospora_peliscypha 0.08
Acarospora_rosulata 0.08
Acarospora_rugulosa 0.08
Acarospora_scabrida 0.08
Acarospora_schleicheri 0.08
Acarospora_sinopica 0.08
Acarospora_smaragdula 0.08
Acarospora_socialis 0.08
Acarospora_strigata 0.08
Acarospora_thamnina 0.08
Glypholecia_scabra 0.08
Pleopsidium_chlorophanum 0.08
Pleopsidium_discurrens 0.08
Pleopsidium_flavum 0.08
Pleopsidium_gobiense 0.08
Polysporina_frigida 0.08
Polysporina_simplex 0.08
Sarcogyne_privigna 0.08
Sarcogyne_regularis 0.08
Timdalia_intricata 0.08
Fuscidea_cyathoides 0.07
Fuscidea_intercincta 0.07
Fuscidea_lightfootii 0.07
Fuscidea_lygaea 0.07
Fuscidea_mollis 0.07
Fuscidea_pusilla 0.07
Fuscidea_recensa 0.07
Maronea_chilensis 0.07
Maronea_constans 0.07
Bryobilimbia_australis 0.32
Bryobilimbia_diapensiae 0.32
Bryobilimbia_hypnorum 0.32
Bryobilimbia_sanguineoatra 0.32
Acroscyphus_sphaerophoroides 0.05
Amandinea_efflorescens 0.05
Amandinea_lignicola 0.05
Amandinea_petermannii 0.05
Amandinea_punctata 0.05
Australiaena_streimannii 0.05
Buellia_aethalea 0.05
Buellia_anisomera 0.05
Buellia_capitis_regum 0.05
Buellia_centralis 0.05
Buellia_dialyta 0.05
Buellia_dijiana 0.05
Buellia_disciformis 0.05
Buellia_dispersa 0.05
Buellia_elegans 0.05
Buellia_epigaea 0.05
Buellia_erubescens 0.05
Buellia_fimbriata 0.05
Buellia_frigida 0.05
Buellia_geophila 0.05
Buellia_georgei 0.05
Buellia_griseovirens 0.05
Buellia_insignis 0.05
Buellia_muriformis 0.05
