edited_name,PrimaryTrentepohliales
Rinodina_candidogrisea,0
Rinodina_capensis,0
Rinodina_confragosa,0
Rinodina_exigua,0
Rinodina_gallowayi,0
Rinodina_gennarii,0
Rinodina_herteliana,0
Rinodina_immersa,0
Rinodina_interpolata,0
Rinodina_jamesii,0
Rinodina_lecanorina,0
Rinodina_lepida,0
Rinodina_luridata,0
Rinodina_luridescens,0
Rinodina_milvina,0
Rinodina_mniaraea,0
Rinodina_nimisii,0
Rinodina_obnascens,0
Rinodina_oleae,0
Rinodina_olivaceobrunnea,0
Rinodina_oxydata,0
Rinodina_plana,0
Rinodina_pyrina,0
Rinodina_reagens,0
Rinodina_sophodes,0
Rinodina_teichophila,0
Rinodina_tephraspis,0
Rinodina_tunicata,0
Rinodina_turfacea,0
Rinodina_zwackhiana,0
Rinodinella_controversa,0
Rinodinella_dubyanoides,0
Tornabea_scutellifera,0
Catillaria_chalybeia,0
Catinaria_atropurpurea,0
Clauzadea_monticola,0
Calycidium_cuneatum,0
Carbonicola_anthracophila,0
Hypocenomyce_castaneocinerea,0
Carassea_connexa,0
Cladia_aggregata,0
Cladia_corallaizon,0
Cladia_deformis,0
Cladia_dumicola,0
Cladia_ferdinandii,0
Cladia_fuliginosa,0
Cladia_inflata,0
Cladia_moniliformis,0
Cladia_retipora,0
Cladia_schizopora,0
Cladia_sullivanii,0
Cladonia_acuminata,0
Cladonia_ahtii,0
Cladonia_albofuscescens,0
Cladonia_amaurocraea,0
Cladonia_anaemica,0
Cladonia_andesita,0
Cladonia_apodocarpa,0
Cladonia_arbuscula,0
Cladonia_argentea,0
Cladonia_asahinae,0
Cladonia_atlantica,0
Cladonia_bacilliformis,0
Cladonia_bahiana,0
Cladonia_beaumontii,0
Cladonia_bellidiflora,0
Cladonia_borbonica,0
Cladonia_borealis,0
Cladonia_boryi,0
Cladonia_botrytes,0
Cladonia_caespiticia,0
Cladonia_callosa,0
Cladonia_calyciformis,0
Cladonia_capitellata,0
Cladonia_cariosa,0
Cladonia_carneola,0
Cladonia_caroliniana,0
Cladonia_cartilaginea,0
Cladonia_cenotea,0
Cladonia_ceratophylla,0
Cladonia_cervicornis,0
Cladonia_chlorophaea,0
Cladonia_clathrata,0
Cladonia_coccifera,0
Cladonia_confusa,0
Cladonia_coniocraea,0
Cladonia_conista,0
Cladonia_consimilis,0
Cladonia_convoluta,0
Cladonia_corallifera,0
Cladonia_corniculata,0
Cladonia_cornuta,0
Cladonia_corsicana,0
Cladonia_corymbescens,0
Cladonia_crinita,0
Cladonia_crispata,0
Cladonia_crispatula,0
Cladonia_cristatella,0
Cladonia_cyathomorpha,0
Cladonia_cylindrica,0
Cladonia_deformis,0
Cladonia_delavayi,0
Cladonia_dendroides,0
Cladonia_densissima,0
Cladonia_didyma,0
Cladonia_digitata,0
Cladonia_dimorphoclada,0
Cladonia_divaricata,0
Cladonia_diversa,0
Cladonia_ecmocyna,0
Cladonia_elixii,0
Cladonia_evansii,0
Cladonia_farinacea,0
Cladonia_fimbriata,0
Cladonia_firma,0
Cladonia_fissidens,0
Cladonia_fleigiae,0
Cladonia_floerkeana,0
Cladonia_foliacea,0
Cladonia_fruticulosa,0
Cladonia_furcata,0
Cladonia_furfuraceoides,0
Cladonia_glauca,0
Cladonia_gracilis,0
Cladonia_grayi,0
Cladonia_hedbergii,0
Cladonia_hians,0
Cladonia_homchantarae,0
Cladonia_humilis,0
Cladonia_hypomelaena,0
Cladonia_incrassata,0
Cladonia_innominata,0
Cladonia_kurokawae,0
Cladonia_laii,0
Cladonia_latiloba,0
Cladonia_lepidophora,0
Cladonia_leporina,0
Cladonia_lopezii,0
Cladonia_luteoalba,0
Cladonia_macilenta,0
Cladonia_macilentoides,0
Cladonia_macroceras,0
Cladonia_macrophylla,0
Cladonia_macrophyllodes,0
Cladonia_magyarica,0
Cladonia_marionii,0
Cladonia_mauritiana,0
Cladonia_maxima,0
Cladonia_merochlorophaea,0
Cladonia_metacorallifera,0
Cladonia_metaminiata,0
Cladonia_minarum,0
Cladonia_miniata,0
Cladonia_mitis,0
Cladonia_multiformis,0
Cladonia_nana,0
Cladonia_nashii,0
Cladonia_neozelandica,0
Cladonia_nipponica,0
Cladonia_novochlorophaea,0
Cladonia_ochrochlora,0
Cladonia_pachycladodes,0
Cladonia_parvipes,0
Cladonia_peltastica,0
Cladonia_perforata,0
Cladonia_pertricosa,0
Cladonia_petrophila,0
Cladonia_peziziformis,0
Cladonia_phyllophora,0
Cladonia_piedadensis,0
Cladonia_pityrophylla,0
Cladonia_pleurota,0
Cladonia_pocillum,0
Cladonia_polydactyla,0
Cladonia_polyscypha,0
Cladonia_polystomata,0
Cladonia_portentosa,0
Cladonia_prancei,0
Cladonia_prostrata,0
Cladonia_pulvinata,0
Cladonia_pulvinella,0
Cladonia_pycnoclada,0
Cladonia_pyxidata,0
Cladonia_rangiferina,0
Cladonia_rangiformis,0
Cladonia_rappii,0
Cladonia_ravenelii,0
Cladonia_recticaulis,0
Cladonia_rei,0
Cladonia_rigida,0
Cladonia_robbinsii,0
Cladonia_rotundata,0
Cladonia_rudis,0
Cladonia_rugulosa,0
Cladonia_salmonea,0
Cladonia_scabriuscula,0
