edited_name,PrimaryTrebouxiophyceae
Japewia_tornoensis,1
Lecanora_achariana,1
Lecanora_achroa,1
Lecanora_aitema,1
Lecanora_albescens,1
Lecanora_allophana,1
Lecanora_andrewii,1
Lecanora_anopta,1
Lecanora_argentata,1
Lecanora_argopholis,1
Lecanora_austrotropica,1
Lecanora_bicincta,1
Lecanora_bipruinosa,1
Lecanora_burgaziae,1
Lecanora_caesiorubella,1
Lecanora_californica,1
Lecanora_campestris,1
Lecanora_carpinea,1
Lecanora_cateilea,1
Lecanora_cenisia,1
Lecanora_chlarotera,1
Lecanora_chlorophaeodes,1
Lecanora_concolor,1
Lecanora_confusa,1
Lecanora_conizaeoides,1
Lecanora_contractula,1
Lecanora_crenulata,1
Lecanora_densa,1
Lecanora_dispersa,1
Lecanora_dispersoareolata,1
Lecanora_epibryon,1
Lecanora_expallens,1
Lecanora_farinacea,1
Lecanora_filamentosa,1
Lecanora_flavoleprosa,1
Lecanora_flavopallida,1
Lecanora_flotowiana,1
Lecanora_fuscescens,1
Lecanora_fuscobrunnea,1
Lecanora_gangaleoides,1
Lecanora_garovaglii,1
Lecanora_glabrata,1
Lecanora_hagenii,1
Lecanora_helva,1
Lecanora_horiza,1
Lecanora_hybocarpa,1
Lecanora_hyperboreorum,1
Lecanora_imshaugii,1
Lecanora_intricata,1
Lecanora_intumescens,1
Lecanora_laxa,1
Lecanora_leproplaca,1
Lecanora_leprosa,1
Lecanora_leptyrodes,1
Lecanora_lividocinerea,1
Lecanora_lojkaeana,1
Lecanora_macrocyclos,1
Lecanora_muralis,1
Lecanora_nashii,1
Lecanora_nothocaesiella,1
Lecanora_novomexicana,1
Lecanora_opiniconensis,1
Lecanora_orosthea,1
Lecanora_pacifica,1
Lecanora_paramerae,1
Lecanora_perpruinosa,1
Lecanora_phaedrophthalma,1
Lecanora_phaeocardia,1
Lecanora_phryganitis,1
Lecanora_plumosa,1
Lecanora_polytropa,1
Lecanora_populicola,1
Lecanora_pringlei,1
Lecanora_pruinosa,1
Lecanora_pulicaris,1
Lecanora_queenslandica,1
Lecanora_reuteri,1
Lecanora_rugosella,1
Lecanora_rupicola,1
Lecanora_saligna,1
Lecanora_schizochromatica,1
Lecanora_semipallida,1
Lecanora_sorediomarginata,1
Lecanora_straminea,1
Lecanora_subcarnea,1
Lecanora_subcarpinea,1
Lecanora_subimmergens,1
Lecanora_subimmersa,1
Lecanora_subintricata,1
Lecanora_subrugosa,1
Lecanora_sulphurea,1
Lecanora_swartzii,1
Lecanora_symmicta,1
Lecanora_thysanophora,1
Lecanora_toroyensis,1
Lecanora_tropica,1
Lecanora_ulrikii,1
Lecanora_vainioi,1
Lecanora_valesiaca,1
Lecanora_varia,1
Lecanora_wilsonii,1
Lecidea_hercynica,1
Lecidea_leprarioides,1
Lecidea_polytrichina,1
Lecidea_pullata,1
Lecidea_turgidula,1
Lecidella_carpathica,1
Lecidella_elaeochroma,1
Lecidella_euphorea,1
Lecidella_flavosorediata,1
Lecidella_greenii,1
Lecidella_meiococca,1
Lecidella_patavina,1
Lecidella_siplei,1
Lecidella_stigmatea,1
Lecidella_wulfenii,1
Lepraria_flavescens,1
Rhizoplaca_aspidophora,1
Rhizoplaca_bullata,1
Rhizoplaca_chrysoleuca,1
Rhizoplaca_haydenii,1
Rhizoplaca_huashanensis,1
Rhizoplaca_idahoensis,1
Rhizoplaca_macleanii,1
Rhizoplaca_melanophthalma,1
Rhizoplaca_occulta,1
Rhizoplaca_parilis,1
Rhizoplaca_peltata,1
Rhizoplaca_polymorpha,1
Rhizoplaca_porterii,1
Rhizoplaca_shushanii,1
Rhizoplaca_subdiscrepans,1
Lecidea_hypopta,1
Lecidea_nylanderi,1
Lecidea_roseotincta,1
Lecidea_rubrocastanea,1
Lecidea_cyrtidia,1
Lecidea_floridensis,1
Malmidea_aurigera,1
Malmidea_bakeri,1
Malmidea_chrysostigma,1
Malmidea_coralliformis,1
Malmidea_eeuuae,1
Malmidea_inflata,1
Malmidea_perplexa,1
Malmidea_piperis,1
Malmidea_rhodopsis,1
Malmidea_subaurigera,1
Malmidea_variabilis,1
Savoronala_madagascariensis,1
Miriquidica_complanata,1
Miriquidica_garovaglii,1
Miriquidica_instrata,1
Miriquidica_leucophaea,1
Calvitimela_armeniaca,1
Calvitimela_melaleuca,1
Lecidea_aglaea,1
Mycoblastus_affinis,1
Mycoblastus_alpinus,1
Mycoblastus_fucatus,1
Mycoblastus_glabrescens,1
