edited_name,Cyan
Acarospora_austroshetlandica,0
Acarospora_badiofusca,0
Acarospora_bullata,0
Acarospora_canadensis,0
Acarospora_cervina,0
Acarospora_clauzadeana,0
Acarospora_complanata,0
Acarospora_fulvoviridula,0
Acarospora_fuscata,0
Acarospora_hilaris,0
Acarospora_laqueata,0
Acarospora_moenium,0
Acarospora_molybdina,0
Acarospora_nitrophila,0
Acarospora_peliscypha,0
Acarospora_rosulata,0
Acarospora_rugulosa,0
Acarospora_scabrida,0
Acarospora_schleicheri,0
Acarospora_sinopica,0
Acarospora_smaragdula,0
Acarospora_socialis,0
Acarospora_strigata,0
Acarospora_thamnina,0
Glypholecia_scabra,0
Pleopsidium_chlorophanum,0
Pleopsidium_discurrens,0
Pleopsidium_flavum,0
Pleopsidium_gobiense,0
Polysporina_frigida,0
Polysporina_simplex,0
Sarcogyne_privigna,0
Sarcogyne_regularis,0
Timdalia_intricata,0
Fuscidea_cyathoides,0
Fuscidea_intercincta,0
Fuscidea_lightfootii,0
Fuscidea_lygaea,0
Fuscidea_mollis,0
Fuscidea_pusilla,0
Fuscidea_recensa,0
Maronea_chilensis,0
Maronea_constans,0
Bryobilimbia_australis,0
Bryobilimbia_diapensiae,0
Bryobilimbia_hypnorum,0
Bryobilimbia_sanguineoatra,0
Acroscyphus_sphaerophoroides,0
Amandinea_efflorescens,0
Amandinea_lignicola,0
Amandinea_petermannii,0
Amandinea_punctata,0
Australiaena_streimannii,0
Buellia_aethalea,0
Buellia_anisomera,0
Buellia_capitis_regum,0
Buellia_centralis,0
Buellia_dialyta,0
Buellia_dijiana,0
Buellia_disciformis,0
Buellia_dispersa,0
Buellia_elegans,0
Buellia_epigaea,0
Buellia_erubescens,0
Buellia_fimbriata,0
Buellia_frigida,0
Buellia_geophila,0
Buellia_georgei,0
Buellia_griseovirens,0
Buellia_insignis,0
Buellia_muriformis,0
Buellia_ocellata,0
Buellia_papillata,0
Buellia_penichra,0
Buellia_russa,0
Buellia_schaereri,0
Buellia_stillingiana,0
Buellia_subdisciformis,0
Buellia_submuriformis,0
Buellia_triphragmoides,0
Buellia_triseptata,0
Buellia_zoharyi,0
Calicium_abietinum,0
