Tip_label f
Physcia_adscendens 0.2
Physcia_aipolia 0.2
Physcia_alba 0.2
Physcia_albinea 0.2
Physcia_alnophila 0.2
Physcia_atrostriata 0.2
Physcia_austrostellaris 0.2
Physcia_biziana 0.2
Physcia_caesia 0.2
Physcia_dimidiata 0.2
Physcia_dubia 0.2
Physcia_erumpens 0.2
Physcia_integrata 0.2
Physcia_jackii 0.2
Physcia_kalbii 0.2
Physcia_krogiae 0.2
Physcia_leptalea 0.2
Physcia_magnussonii 0.2
Physcia_millegrana 0.2
Physcia_nubila 0.2
Physcia_orientalis 0.2
Physcia_phaea 0.2
Physcia_semipinnata 0.2
Physcia_sorediosa 0.2
Physcia_stellaris 0.2
Physcia_subalbinea 0.2
Physcia_tenella 0.2
Physcia_tribacia 0.2
Physcia_tropica 0.2
Physcia_undulata 0.2
Physciella_chloantha 0.2
Physconia_americana 0.2
Physconia_detersa 0.2
Physconia_distorta 0.2
Physconia_elegantula 0.2
Physconia_enteroxantha 0.2
Physconia_grisea 0.2
Physconia_grumosa 0.2
Physconia_isidiigera 0.2
Physconia_kurokawae 0.2
Physconia_leucoleiptes 0.2
Physconia_muscigena 0.2
Physconia_perisidiosa 0.2
Physconia_servitii 0.2
Physconia_subpulverulenta 0.2
Physconia_thorstenii 0.2
Physconia_venusta 0.2
Rinodina_alba 0.07
Rinodina_albana 0.07
Rinodina_atrocinerea 0.07
Rinodina_bischoffii 0.07
Rinodina_cacaotina 0.07
Rinodina_calcarea 0.07
Rinodina_candidogrisea 0.07
Rinodina_capensis 0.07
Rinodina_confragosa 0.07
Rinodina_exigua 0.07
Rinodina_gallowayi 0.07
Rinodina_gennarii 0.07
Rinodina_herteliana 0.07
Rinodina_immersa 0.07
Rinodina_interpolata 0.07
Rinodina_jamesii 0.07
Rinodina_lecanorina 0.07
Rinodina_lepida 0.07
Rinodina_luridata 0.07
Rinodina_luridescens 0.07
Rinodina_milvina 0.07
Rinodina_mniaraea 0.07
Rinodina_nimisii 0.07
Rinodina_obnascens 0.07
Rinodina_oleae 0.07
Rinodina_olivaceobrunnea 0.07
Rinodina_oxydata 0.07
Rinodina_plana 0.07
Rinodina_pyrina 0.07
Rinodina_reagens 0.07
Rinodina_sophodes 0.07
Rinodina_teichophila 0.07
Rinodina_tephraspis 0.07
Rinodina_tunicata 0.07
Rinodina_turfacea 0.07
Rinodina_zwackhiana 0.07
Rinodinella_controversa 0.07
Rinodinella_dubyanoides 0.07
Tornabea_scutellifera 0.2
Catillaria_chalybeia 0.01
Catinaria_atropurpurea 0.01
Clauzadea_monticola 0.06
Calycidium_cuneatum 0.22
Carbonicola_anthracophila 0.17
Hypocenomyce_castaneocinerea 0.17
Carassea_connexa 0.27
Cladia_aggregata 0.27
Cladia_corallaizon 0.27
Cladia_deformis 0.27
Cladia_dumicola 0.27
Cladia_ferdinandii 0.27
Cladia_fuliginosa 0.27
Cladia_inflata 0.27
Cladia_moniliformis 0.27
Cladia_retipora 0.27
Cladia_schizopora 0.27
Cladia_sullivanii 0.27
Cladonia_acuminata 0.27
Cladonia_ahtii 0.27
Cladonia_albofuscescens 0.27
Cladonia_amaurocraea 0.27
Cladonia_anaemica 0.27
Cladonia_andesita 0.27
Cladonia_apodocarpa 0.1
Cladonia_arbuscula 0.27
Cladonia_argentea 0.27
Cladonia_asahinae 0.27
Cladonia_atlantica 0.27
Cladonia_bacilliformis 0.27
Cladonia_bahiana 0.27
Cladonia_beaumontii 0.27
Cladonia_bellidiflora 0.27
Cladonia_borbonica 0.27
Cladonia_borealis 0.27
Cladonia_boryi 0.27
Cladonia_botrytes 0.27
Cladonia_caespiticia 0.1
Cladonia_callosa 0.27
Cladonia_calyciformis 0.27
Cladonia_capitellata 0.27
Cladonia_cariosa 0.27
Cladonia_carneola 0.27
Cladonia_caroliniana 0.27
Cladonia_cartilaginea 0.27
Cladonia_cenotea 0.27
Cladonia_ceratophylla 0.27
Cladonia_cervicornis 0.27
Cladonia_chlorophaea 0.27
Cladonia_clathrata 0.27
Cladonia_coccifera 0.27
Cladonia_confusa 0.27
Cladonia_coniocraea 0.27
Cladonia_conista 0.27
Cladonia_consimilis 0.27
Cladonia_convoluta 0.27
Cladonia_corallifera 0.27
Cladonia_corniculata 0.27
Cladonia_cornuta 0.27
Cladonia_corsicana 0.27
Cladonia_corymbescens 0.27
Cladonia_crinita 0.27
Cladonia_crispata 0.27
Cladonia_crispatula 0.27
Cladonia_cristatella 0.27
Cladonia_cyathomorpha 0.27
Cladonia_cylindrica 0.27
Cladonia_deformis 0.27
Cladonia_delavayi 0.27
Cladonia_dendroides 0.27
Cladonia_densissima 0.27
Cladonia_didyma 0.27
Cladonia_digitata 0.27
Cladonia_dimorphoclada 0.27
Cladonia_divaricata 0.27
Cladonia_diversa 0.27
Cladonia_ecmocyna 0.27
Cladonia_elixii 0.27
Cladonia_evansii 0.27
Cladonia_farinacea 0.27
Cladonia_fimbriata 0.27
Cladonia_firma 0.27
Cladonia_fissidens 0.27
Cladonia_fleigiae 0.27
Cladonia_floerkeana 0.27
Cladonia_foliacea 0.27
Cladonia_fruticulosa 0.27
Cladonia_furcata 0.27
Cladonia_furfuraceoides 0.27
Cladonia_glauca 0.27
Cladonia_gracilis 0.27
Cladonia_grayi 0.27
Cladonia_hedbergii 0.27
Cladonia_hians 0.27
Cladonia_homchantarae 0.27
Cladonia_humilis 0.27
Cladonia_hypomelaena 0.27
Cladonia_incrassata 0.27
Cladonia_innominata 0.27
Cladonia_kurokawae 0.27
Cladonia_laii 0.27
Cladonia_latiloba 0.27
Cladonia_lepidophora 0.27
Cladonia_leporina 0.27
Cladonia_lopezii 0.27
Cladonia_luteoalba 0.27
Cladonia_macilenta 0.27
Cladonia_macilentoides 0.27
Cladonia_macroceras 0.27
Cladonia_macrophylla 0.27
Cladonia_macrophyllodes 0.27
Cladonia_magyarica 0.27
Cladonia_marionii 0.27
Cladonia_mauritiana 0.27
Cladonia_maxima 0.27
Cladonia_merochlorophaea 0.27
Cladonia_metacorallifera 0.27
Cladonia_metaminiata 0.27
Cladonia_minarum 0.27
Cladonia_miniata 0.27
Cladonia_mitis 0.27
Cladonia_multiformis 0.27
Cladonia_nana 0.1
Cladonia_nashii 0.27
Cladonia_neozelandica 0.27
Cladonia_nipponica 0.27
Cladonia_novochlorophaea 0.27
Cladonia_ochrochlora 0.27
Cladonia_pachycladodes 0.27
Cladonia_parvipes 0.27
Cladonia_peltastica 0.27
Cladonia_perforata 0.27
Cladonia_pertricosa 0.27
Cladonia_petrophila 0.1
Cladonia_peziziformis 0.27
Cladonia_phyllophora 0.27
Cladonia_piedadensis 0.27
Cladonia_pityrophylla 0.27
Cladonia_pleurota 0.27
Cladonia_pocillum 0.27
Cladonia_polydactyla 0.27
Cladonia_polyscypha 0.27
Cladonia_polystomata 0.27
Cladonia_portentosa 0.27
Cladonia_prancei 0.27
Cladonia_prostrata 0.27
Cladonia_pulvinata 0.27
Cladonia_pulvinella 0.27
Cladonia_pycnoclada 0.27
Cladonia_pyxidata 0.27
Cladonia_rangiferina 0.27
Cladonia_rangiformis 0.27
Cladonia_rappii 0.27
Cladonia_ravenelii 0.27
Cladonia_recticaulis 0.27
Cladonia_rei 0.27
Cladonia_rigida 0.27
Cladonia_robbinsii 0.27
Cladonia_rotundata 0.27
Cladonia_rudis 0.27
Cladonia_rugulosa 0.27
Cladonia_salmonea 0.27
Cladonia_scabriuscula 0.27
Cladonia_secundana 0.27
Cladonia_signata 0.27
Cladonia_sinensis 0.27
Cladonia_singhii 0.27
Cladonia_solitaria 0.27
Cladonia_squamosa 0.27
Cladonia_squamosissima 0.27
Cladonia_staufferi 0.27
Cladonia_stellaris 0.27
Cladonia_stenroosiae 0.27
Cladonia_steyermarkii 0.27
Cladonia_stipitata 0.27
Cladonia_strepsilis 0.27
Cladonia_stygia 0.27
Cladonia_subcariosa 0.27
Cladonia_subcervicornis 0.27
Cladonia_subchordalis 0.27
Cladonia_subconistea 0.27
Cladonia_subfurcata 0.27
Cladonia_subreticulata 0.27
Cladonia_subsetacea 0.27
Cladonia_subsquamosa 0.27
Cladonia_substellata 0.27
Cladonia_subsubulata 0.27
Cladonia_subtenuis 0.27
Cladonia_subturgida 0.27
Cladonia_subulata 0.27
Cladonia_sulcata 0.27
Cladonia_sulphurina 0.27
Cladonia_symphycarpa 0.27
Cladonia_symphycarpia 0.27
Cladonia_terrae_novae 0.27
Cladonia_thomsonii 0.27
Cladonia_trapezuntica 0.27
Cladonia_turgida 0.27
Cladonia_ustulata 0.27
Cladonia_vareschii 0.27
Cladonia_variegata 0.27
Cladonia_verticillaris 0.27
Cladonia_verticillata 0.27
Cladonia_vulcani 0.27
Cladonia_vulcanica 0.27
Cladonia_wainioi 0.27
Cladonia_weymouthii 0.27
Cladonia_yunnana 0.27
Cladonia_zopfii 0.27
Gymnoderma_coccocarpum 0.27
Heterodea_beaugleholei 0.27
Heterodea_muelleri 0.27
Metus_conglomeratus 0.27
Pilophorus_acicularis 0.27
Pilophorus_cereolus 0.1
Pilophorus_robustus 0.27
Pilophorus_strumaticus 0.27
Pycnothelia_papillaria 0.27
Ramalea_cochleata 0.27
Ramalinora_glaucolivida 0.1
Thysanothecium_scutellatum 0.1
Gypsoplaca_macrophylla 0.25
Haematomma_accolens 0.05
Haematomma_erythromma 0.05
Haematomma_flexuosum 0.05
Haematomma_ochroleucum 0.05
Haematomma_stevensiae 0.05
Haematomma_sulphureum 0.05
Adelolecia_pilati 0.05
Arctopeltis_thuleana 0.05
Bryonora_castanea 0.05
Carbonea_supersparsa 0.05
Carbonea_vitellinaria 0.05
Carbonea_vorticosa 0.05
Frutidella_caesioatra 0.05
Japewia_subaurifera 0.05
Japewia_tornoensis 0.05
Lecanora_achariana 0.05
Lecanora_achroa 0.05
Lecanora_aitema 0.05
Lecanora_albescens 0.05
Lecanora_allophana 0.05
Lecanora_andrewii 0.05
Lecanora_anopta 0.05
Lecanora_argentata 0.05
Lecanora_argopholis 0.05
Lecanora_austrotropica 0.05
Lecanora_bicincta 0.05
Lecanora_bipruinosa 0.05
Lecanora_burgaziae 0.05
Lecanora_caesiorubella 0.05
Lecanora_californica 0.05
Lecanora_campestris 0.05
Lecanora_carpinea 0.05
Lecanora_cateilea 0.05
Lecanora_cenisia 0.05
Lecanora_chlarotera 0.05
Lecanora_chlorophaeodes 0.05
Lecanora_concolor 0.05
Lecanora_confusa 0.05
Lecanora_conizaeoides 0.05
Lecanora_contractula 0.05
Lecanora_crenulata 0.05
Lecanora_densa 0.05
Lecanora_dispersa 0.05
Lecanora_dispersoareolata 0.05
Lecanora_epibryon 0.05
Lecanora_expallens 0.05
Lecanora_farinacea 0.05
Lecanora_filamentosa 0.05
Lecanora_flavoleprosa 0.05
Lecanora_flavopallida 0.05
Lecanora_flotowiana 0.05
Lecanora_fuscescens 0.05
Lecanora_fuscobrunnea 0.05
Lecanora_gangaleoides 0.05
Lecanora_garovaglii 0.05
Lecanora_glabrata 0.05
Lecanora_hagenii 0.05
Lecanora_helva 0.05
Lecanora_horiza 0.05
Lecanora_hybocarpa 0.05
Lecanora_hyperboreorum 0.05
Lecanora_imshaugii 0.05
Lecanora_intricata 0.05
