generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1230000,16,26.9653,-14842.8,17.1796,0.4215
1240000,17,29.4602,-14811.1,12.0238,0.416625
1250000,17,29.2189,-14807.4,13.5687,0.4275
1260000,18,31.3225,-14805.3,16.0621,0.4103
1270000,22,30.7341,-14855.1,23.1614,0.424275
1280000,17,24.4314,-14853.8,19.5207,0.416014
1290000,20,34.2159,-14808,32.6315,0.421867
1300000,18,31.126,-14810.1,17.334,0.40865
1310000,15,21.4982,-14843.1,14.8354,0.4119
1320000,25,45.5769,-14805.8,25.0359,0.41995
1330000,20,33.69,-14818.5,20.4189,0.4409
1340000,17,31.6285,-14785.6,23.7735,0.43548
1350000,17,33.7343,-14796.6,11.4453,0.4199
1360000,14,26.6339,-14841.8,21.6512,0.42102
1370000,22,31.9299,-14821.5,14.2345,0.43135
1380000,20,32.9638,-14836.2,20.2147,0.4323
1390000,26,39.9369,-14803.2,23.5671,0.425575
1400000,16,25.1564,-14841,18.4137,0.4175
1410000,17,31.349,-14803.5,16.5888,0.4502
1420000,15,25.0357,-14849.8,11.3152,0.41755
1430000,13,22.4817,-14844.6,16.495,0.3975
1440000,18,28.5623,-14810.7,13.1904,0.410633
1450000,20,33.2244,-14842.7,29.9749,0.40194
1460000,19,31.6217,-14834.5,20.9304,0.4262
1470000,14,25.633,-14817,16.3143,0.427733
1480000,15,27.7552,-14837.1,13.5772,0.423633
1490000,21,37.925,-14820.4,19.6062,0.42365
1500000,18,31.192,-14805.3,20.8855,0.4409
1510000,16,24.3587,-14842.8,11.4078,0.4278
1520000,21,33.4912,-14836,21.3414,0.42585
1530000,16,29.3063,-14815.9,13.6956,0.409633
1540000,15,27.6803,-14812.6,13.59,0.4105
1550000,17,31.8927,-14810.9,16.2982,0.4074
1560000,13,23.4242,-14856,12.7965,0.426583
1570000,21,35.6835,-14814.5,22.4206,0.435967
1580000,16,24.0863,-14846.8,13.9896,0.41805
1590000,15,29.4306,-14829.3,8.55333,0.4476
1600000,16,29.4269,-14835.3,14.4851,0.416
1610000,20,34.9194,-14834.9,20.564,0.42912
1620000,19,28.1871,-14817,23.1024,0.4078
1630000,20,27.7786,-14816.7,17.4853,0.4229
1640000,15,26.5161,-14810.1,13.3961,0.4127
1650000,18,33.1443,-14818.3,12.8954,0.4148
1660000,13,24.4089,-14843.9,14.8833,0.421667
1670000,18,31.8263,-14846.6,20.5329,0.42275
1680000,20,31.5621,-14838.1,22.6265,0.423678
1690000,20,33.0728,-14808.6,17.873,0.42555
1700000,16,26.9911,-14844.3,16.6332,0.416
1710000,16,28.1336,-14811.4,18.441,0.4199
1720000,17,26.4123,-14838.7,14.5611,0.4084
1730000,12,21.5258,-14861.7,9.02975,0.416133
1740000,18,34.6976,-14819.8,16.858,0.433367
1750000,15,25.237,-14851.1,21.6928,0.40475
1760000,18,32.6786,-14809,26.298,0.4249
1770000,16,29.2845,-14836,15.1214,0.425918
1780000,15,27.1113,-14818.8,12.2223,0.40785
1790000,14,23.5351,-14818.5,9.66519,0.4055
1800000,15,28.0751,-14815.6,13.6784,0.4121
1810000,20,29.9987,-14824.9,14.878,0.432775
1820000,25,33.2355,-14811.2,26.8573,0.4279
1830000,18,32.7765,-14808.3,14.0777,0.4277
1840000,20,28.0092,-14790.6,14.2471,0.4227
1850000,23,33.6059,-14802.8,33.398,0.4242
1860000,25,38.2579,-14816.8,18.2086,0.427757
1870000,21,30.6469,-14814.2,17.879,0.4347
1880000,26,29.1422,-14830.3,26.0322,0.4471
1890000,18,28.1518,-14840.1,20.1759,0.424367
1900000,17,30.1601,-14825.9,19.1471,0.4112
1910000,17,29.7098,-14829.9,15.5697,0.4265
1920000,15,25.7505,-14852.3,14.8856,0.423359
1930000,13,24.6481,-14849.7,13.6877,0.41918
1940000,19,30.1085,-14827,19.0407,0.437367
1950000,19,30.4872,-14842,17.9969,0.4103
1960000,19,32.7973,-14797.1,26.1815,0.427245
1970000,23,30.5456,-14820.5,17.2906,0.4238
1980000,19,32.1375,-14793.3,27.6106,0.4168
1990000,21,37.2895,-14811.4,25.1639,0.43525
2000000,18,32.4092,-14832.8,21.7721,0.422513
2010000,20,35.4562,-14818,19.6452,0.4224
2020000,19,31.9878,-14790.4,19.1804,0.425
2030000,22,36.0934,-14809.7,17.7069,0.43715
2040000,17,29.1367,-14838.7,17.7701,0.431886
2050000,24,40.8217,-14821.1,22.7815,0.4338
2060000,19,34.0104,-14800.1,29.8899,0.415275
2070000,23,38.5366,-14772,24.8415,0.4121
2080000,14,26.3285,-14842.2,13.5765,0.428375
2090000,21,35.1938,-14814.1,20.0294,0.43545
2100000,18,32.1871,-14833.1,22.2797,0.431382
2110000,17,28.8581,-14827.4,14.5388,0.41595
2120000,25,39.0862,-14780.7,32.2538,0.41212
2130000,24,37.4713,-14792.7,24.2968,0.4251
2140000,19,34.7621,-14778,16.9766,0.4427
2150000,21,38.2761,-14782.1,22.2034,0.4084
2160000,16,27.9674,-14826.1,11.9508,0.43186
2170000,15,27.4568,-14826.9,19.5785,0.419729
2180000,23,28.4837,-14782.4,20.2587,0.4017
2190000,17,31.061,-14782.4,9.77924,0.4194
2200000,19,30.1845,-14829.5,26.6651,0.418408
2210000,17,32.4122,-14832.3,12.7432,0.417525
2220000,18,30.6715,-14836.1,15.8248,0.4165
2230000,20,36.5385,-14834.1,16.7502,0.4216
2240000,20,31.119,-14823.8,23.3513,0.42785
2250000,15,25.2248,-14835.6,17.7305,0.4268
2260000,15,27.8543,-14834.7,18.9937,0.4312
2270000,24,34.534,-14851.8,24.7709,0.4233
2280000,19,27.7826,-14838.4,17.6918,0.4247
2290000,17,30.4024,-14797.1,14.4554,0.4209
2300000,20,32.9531,-14798.6,20.3801,0.4133
2310000,18,30.4686,-14799.5,18.5931,0.4281
2320000,19,28.7282,-14805.9,15.1062,0.4075
2330000,17,28.0783,-14846.4,19.4121,0.4261
2340000,16,27.9415,-14844.8,12.5986,0.418983
2350000,15,29.2238,-14818.1,14.5046,0.420367
2360000,16,29.9217,-14833.8,18.6514,0.421867
2370000,19,33.6244,-14790.7,19.8326,0.40778
2380000,19,33.3467,-14831.6,19.2383,0.425267
2390000,20,34.2686,-14789.1,18.4668,0.43015
2400000,18,22.9148,-14842.3,17.6617,0.43535
2410000,22,32.4495,-14825.9,17.26,0.441667
2420000,17,28.7184,-14808.4,26.5238,0.438633
2430000,16,26.2127,-14832.5,18.3482,0.429367
2440000,16,31.4942,-14835.8,13.8393,0.42535
2450000,17,28.2634,-14835.5,22.8141,0.42215
2460000,17,30.1583,-14822.5,14.1511,0.413975
2470000,18,26.6228,-14830.6,14.7815,0.4329
2480000,17,29.8811,-14839.2,21.5718,0.419086
2490000,16,25.4727,-14834.7,10.453,0.42248
2500000,19,31.7896,-14816.8,15.9081,0.4277
2510000,17,29.0929,-14837,18.0753,0.4203
2520000,25,36.0333,-14806.1,19.6069,0.430383
2530000,22,38.1827,-14797.5,18.9748,0.4277
2540000,20,31.5575,-14798.5,19.9383,0.4215
2550000,21,32.3225,-14815.5,15.537,0.43284
2560000,18,31.1495,-14803.8,22.3686,0.41925
2570000,18,30.0454,-14794.8,16.7237,0.4153
2580000,24,37.0316,-14796,21.091,0.4537
2590000,27,40.597,-14814.8,28.6065,0.435525
2600000,17,30.1837,-14795.7,15.8689,0.42935
2610000,17,30.0607,-14801,15.1041,0.4116
2620000,21,37.2165,-14808.9,23.688,0.4213
2630000,18,35.5444,-14814.3,13.4389,0.4508
2640000,20,30.022,-14831.9,16.0866,0.43804
2650000,15,26.124,-14842.4,14.2,0.420488
2660000,17,32.3682,-14824.5,12.0131,0.414333
2670000,18,34.109,-14834.8,17.1847,0.4187
2680000,12,23.151,-14859.5,12.8791,0.402967
2690000,18,31.1159,-14807.7,15.566,0.406883
2700000,17,32.4854,-14797.5,15.5494,0.4083
2710000,18,33.573,-14803.4,26.91,0.4121
2720000,23,38.4137,-14799.6,23.6249,0.4241
2730000,18,34.0072,-14833.8,17.3675,0.419378
2740000,17,28.0932,-14795.2,23.0265,0.41575
2750000,16,26.3615,-14848.9,14.1022,0.415943
2760000,20,33.3457,-14831.6,17.5953,0.420733
2770000,22,36.0355,-14820.8,25.11,0.432625
2780000,17,24.1998,-14843.5,18.1326,0.41505
2790000,19,30.9586,-14827.6,23.5536,0.4225
2800000,21,34.3155,-14817,22.931,0.4436
2810000,17,29.5927,-14842.4,11.3783,0.439167
2820000,17,26.1038,-14832,14.3001,0.4411
2830000,14,22.8712,-14838.1,14.2776,0.43702
2840000,17,28.9445,-14820.8,13.6898,0.4284
2850000,14,23.2564,-14836,8.20234,0.42238
2860000,17,29.3822,-14808.2,12.5176,0.433
2870000,15,26.7589,-14834.6,13.8208,0.43935
2880000,16,28.9672,-14826.8,24.6824,0.415
2890000,17,30.7142,-14799.7,14.6714,0.4127
2900000,24,34.8027,-14804.7,23.9673,0.4316
2910000,15,24.7085,-14854.7,16.2362,0.426513
2920000,18,31.1683,-14824.8,15.4536,0.42137
2930000,16,29.0876,-14823.2,13.5018,0.408967
2940000,15,28.0411,-14802.3,16.5367,0.41695
2950000,16,25.4479,-14846.3,16.8317,0.419767
2960000,16,28.3743,-14814.9,17.3673,0.4196
2970000,18,31.5247,-14809.6,17.9273,0.4149
2980000,15,29.223,-14826.5,14.6521,0.42756
2990000,20,32.2308,-14846,22.2245,0.433725
3000000,19,33.8475,-14829.5,10.0372,0.410333
3010000,15,22.7722,-14841.2,17.0791,0.41365
3020000,19,36.874,-14801.9,17.9105,0.42898
3030000,19,34.4537,-14852.6,13.5162,0.41144
3040000,18,33.277,-14823.7,20.0138,0.4384
3050000,19,33.6311,-14812.5,22.3938,0.4331
3060000,17,27.9792,-14826.2,18.8255,0.408467
3070000,18,30.8912,-14792.3,19.6274,0.4243
3080000,20,32.9643,-14801.8,15.3905,0.4044
3090000,14,25.0413,-14862,13.3329,0.424913
3100000,22,36.9641,-14824.6,23.6409,0.42875
3110000,20,25.9845,-14835.2,19.6374,0.42432
3120000,14,25.543,-14835.1,14.7355,0.4133
3130000,20,29.7617,-14831.4,19.1669,0.45
3140000,19,35.6441,-14785,22.8325,0.440717
3150000,18,28.8018,-14847.3,15.7438,0.402517
3160000,12,22.6164,-14843.1,8.56734,0.437833
3170000,16,27.1443,-14844,17.4034,0.4182
3180000,16,24.2994,-14849.2,13.417,0.41865
3190000,20,31.5264,-14803.6,35.0573,0.42834
3200000,17,32.0461,-14799.6,23.2117,0.4183
3210000,17,31.4119,-14810,14.7167,0.4266
3220000,13,24.2002,-14845.4,12.7871,0.408575
3230000,26,42.4833,-14807.1,30.6551,0.438
3240000,14,22.9178,-14851.8,16.4734,0.410775
3250000,15,27.5219,-14853.4,12.8669,0.3911
3260000,19,31.8416,-14837.7,17.8986,0.407856
3270000,16,26.934,-14804.7,16.014,0.43325
3280000,18,28.8093,-14838.1,18.1756,0.42175
3290000,17,27.1527,-14852.3,11.1724,0.435
3300000,21,37.1843,-14810.6,19.8322,0.410667
3310000,14,23.0261,-14846.6,14.9619,0.419933
3320000,17,28.5762,-14831.3,21.3604,0.434067
3330000,17,27.2777,-14854,27.4442,0.41195
3340000,15,21.4751,-14863.4,15.0246,0.419183
3350000,14,22.5731,-14845.8,16.425,0.418933
3360000,14,26.714,-14805.1,19.7781,0.418333
3370000,18,28.6242,-14815.4,20.3656,0.4025
3380000,13,25.5521,-14814.4,13.0617,0.4202
3390000,23,37.5453,-14857.9,30.7909,0.43322
3400000,18,31.7901,-14810.6,15.8959,0.4331
3410000,17,27.8687,-14824.7,21.3868,0.420413
3420000,13,23.4601,-14847.4,11.642,0.417433
3430000,19,33.5385,-14838.4,24.4386,0.4325
3440000,19,30.6025,-14850.2,12.4848,0.411789
3450000,17,26.6196,-14813.4,22.5529,0.42354
3460000,22,39.6246,-14834.6,19.0311,0.42305
3470000,14,25.0522,-14841.7,11.4633,0.4161
3480000,13,22.2676,-14843.8,9.24635,0.41506
3490000,19,33.5226,-14840.6,26.0131,0.4537
3500000,22,39.4602,-14804.3,17.9738,0.43448
3510000,17,28.3056,-14844.1,18.2182,0.4113
3520000,15,20.195,-14835.6,12.453,0.4334
3530000,14,24.7854,-14841.5,18.1474,0.4343
3540000,14,25.8583,-14810.8,20.991,0.42875
3550000,14,24.3793,-14819.6,18.9677,0.4068
3560000,21,30.0833,-14808.9,24.2337,0.3997
3570000,19,24.9028,-14817.7,26.0741,0.4244
3580000,16,25.3341,-14838.7,17.7719,0.424357
3590000,19,31.7692,-14837.5,18.845,0.4258
3600000,18,29.8911,-14826.2,19.6946,0.428625
3610000,12,22.089,-14848.5,15.8591,0.412867
3620000,17,27.6055,-14825.2,18.6469,0.43685
3630000,16,29.859,-14811.9,14.2565,0.425467
3640000,18,29.3352,-14828.7,17.7103,0.41275
3650000,14,22.3411,-14846.2,20.923,0.4155
3660000,15,24.8835,-14842,10.5694,0.419929
3670000,20,26.6747,-14827.8,13.9428,0.421033
3680000,16,27.0088,-14836.3,13.5071,0.3943
3690000,20,30.4352,-14848.8,19.8304,0.414925
3700000,17,31.2504,-14850.7,23.1625,0.421175
3710000,13,24.0653,-14852,19.1102,0.4014
3720000,14,27.6423,-14845.2,13.8003,0.3944
3730000,16,24.0913,-14841.4,21.171,0.42274
3740000,12,22.4437,-14841.2,8.31976,0.40974
3750000,13,21.3818,-14844.8,13.9216,0.401067
3760000,13,20.9084,-14834,14.2576,0.4186
3770000,18,27.3392,-14823.4,22.5803,0.42755
3780000,20,33.8461,-14840.6,24.4485,0.42515
3790000,16,29.8766,-14844.4,14.6769,0.40795
3800000,17,29.0411,-14837.1,17.297,0.4262
3810000,17,27.8936,-14809.8,23.4688,0.431456
3820000,25,37.8637,-14828.4,24.2801,0.4193
3830000,20,32.3039,-14829.7,18.6461,0.4548
3840000,20,31.4833,-14802.2,25.1796,0.4374
3850000,19,32.841,-14839,23.042,0.41378
3860000,20,36.9697,-14847.5,14.3188,0.4436
3870000,22,31.5983,-14810.4,16.0977,0.426767
3880000,24,35.7131,-14828.7,29.4668,0.420879
3890000,22,37.2644,-14818.3,15.6746,0.4347
3900000,19,27.9669,-14842.8,16.5191,0.422225
3910000,25,41.5065,-14844.4,24.0348,0.4468
3920000,19,28.9067,-14827.4,14.0172,0.4521
3930000,17,29.5543,-14842.1,14.7429,0.42515
3940000,22,29.1756,-14820.3,18.6432,0.4388
3950000,15,20.2554,-14838.8,13.9956,0.42
3960000,18,33.0585,-14839.9,16.2218,0.404567
3970000,17,25.3778,-14816.9,18.2471,0.429075
3980000,15,24.1567,-14815.4,12.0791,0.4151
3990000,17,25.7529,-14843.3,22.0269,0.419933
4000000,14,25.7473,-14840.6,11.8301,0.420625
4010000,12,22.7593,-14848.6,8.70461,0.41305
4020000,20,34.0483,-14815.2,21.1203,0.4277
4030000,14,26.2546,-14842.5,18.8225,0.423975
4040000,18,31.4799,-14815.8,15.0384,0.43005
4050000,20,25.7653,-14830.1,21.2525,0.404225
4060000,17,30.9526,-14821,18.2834,0.3973
4070000,21,32.6865,-14814.3,26.0421,0.423967
4080000,15,28.5843,-14812,15.606,0.414225
4090000,14,23.883,-14830.2,20.6797,0.4091
4100000,16,26.6902,-14829.3,17.0828,0.40846
4110000,19,30.3186,-14807.7,23.0519,0.4238
4120000,18,28.2848,-14819.1,22.5593,0.42435
4130000,23,38.4858,-14850.1,29.2605,0.424275
4140000,21,33.9232,-14804.2,26.2787,0.4422
4150000,16,26.0137,-14823.3,21.5768,0.427367
4160000,21,35.1516,-14825.6,17.1218,0.4256
4170000,15,24.4096,-14814.2,12.6471,0.412
4180000,18,27.5405,-14817.5,15.0493,0.42975
4190000,23,35.3857,-14838.2,21.0499,0.41895
4200000,17,26.9131,-14834.8,18.198,0.42876
4210000,15,24.302,-14850.7,14.9988,0.428963
4220000,23,30.3883,-14825.3,26.1183,0.4205
4230000,14,24.6189,-14820.8,20.8771,0.4169
4240000,14,26.6883,-14819.7,14.0804,0.4164
4250000,18,31.4572,-14822.8,18.2388,0.412867
4260000,15,28.9917,-14809.5,16.9054,0.4275
4270000,16,26.2981,-14829.8,24.1522,0.42245
4280000,19,31.9962,-14837.1,18.8076,0.4112
4290000,20,30.1686,-14819.4,21.5249,0.425067
4300000,19,34.1188,-14805.1,16.5882,0.4084
4310000,17,30.2755,-14833.3,24.4366,0.408467
4320000,15,27.0152,-14830,12.2958,0.41375
4330000,19,25.9087,-14826.3,24.1171,0.41235
4340000,18,28.8915,-14828.9,21.5426,0.413431
4350000,16,28.3093,-14835.6,21.3648,0.4237
4360000,22,34.9256,-14821.2,20.1932,0.429133
4370000,18,31.3994,-14840,20.3047,0.418706
4380000,15,25.187,-14852.1,13.411,0.4367
4390000,12,22.6405,-14852.5,10.0492,0.4014
4400000,22,29.5686,-14821.9,24.1166,0.41546
4410000,25,38.9417,-14831.8,22.7123,0.4177
4420000,21,36.2703,-14811.6,14.7603,0.41405
4430000,29,52.9674,-14805.2,24.229,0.4213
4440000,22,38.0847,-14808,22.1772,0.422783
4450000,17,30.8312,-14828.6,27.3646,0.419475
4460000,18,30.9332,-14802.6,21.6088,0.41155
4470000,19,27.4306,-14801.8,15.9145,0.4098
4480000,19,30.9177,-14824.6,23.1952,0.4297
4490000,20,34.077,-14813.8,20.386,0.4466
4500000,18,33.0657,-14810.8,15.5707,0.4431
4510000,13,25.7265,-14851.4,10.7948,0.412192
4520000,23,35.0138,-14810.6,20.8672,0.422378
4530000,19,35.2478,-14799.9,23.0677,0.4175
4540000,19,30.2013,-14823.8,27.7153,0.423275
4550000,15,25.0712,-14846.7,11.9417,0.421325
4560000,20,34.9528,-14817.8,20.3454,0.43265
4570000,19,26.969,-14816.7,13.7351,0.4389
4580000,18,29.0696,-14834,15.2878,0.42601
4590000,14,24.1667,-14842.7,9.88702,0.4068
4600000,17,30.5752,-14818.8,15.1688,0.419857
4610000,16,28.0351,-14821.6,21.3754,0.42905
4620000,17,29.5105,-14817.2,14.9738,0.412
4630000,17,25.6729,-14824.1,27.4588,0.4283
4640000,18,34.3053,-14842.2,14.0939,0.43045
4650000,17,26.9396,-14824.3,16.2539,0.41154
4660000,18,31.468,-14823.8,32.1336,0.432467
4670000,15,27.3346,-14819.8,18.7944,0.415
4680000,19,25.7473,-14816.3,15.5277,0.3942
4690000,19,32.8321,-14837.2,22.1299,0.417771
4700000,18,29.7883,-14810.3,24.9283,0.4483
4710000,21,34.9014,-14843.6,24.0005,0.420067
4720000,13,24.1854,-14832.6,7.73536,0.420088
4730000,18,32.3035,-14813.8,22.3821,0.441467
4740000,13,23.652,-14854.6,9.60877,0.4055
4750000,12,21.5984,-14843.7,15.905,0.4224
4760000,19,29.9722,-14818.5,18.7858,0.4178
4770000,15,28.4,-14840,16.2214,0.4278
4780000,16,25.7951,-14856.4,15.6358,0.412167
4790000,15,23.0506,-14848.9,11.3559,0.398
4800000,14,26.1723,-14845.7,16.4721,0.416267
4810000,17,29.7805,-14832.4,15.3188,0.42258
4820000,14,24.6092,-14850.3,16.1025,0.432633
4830000,15,27.8507,-14814,18.0863,0.431871
4840000,22,31.1104,-14844.3,16.3978,0.4344
4850000,19,30.9243,-14845.7,17.4277,0.43092
4860000,17,26.9682,-14832.3,23.4959,0.426967
4870000,18,33.7245,-14815.9,19.3735,0.4295
4880000,17,30.6567,-14796.8,14.0406,0.4133
4890000,17,29.1725,-14836.2,17.6664,0.42176
4900000,16,26.5692,-14832.7,20.8981,0.428278
4910000,19,33.2296,-14832.1,17.8606,0.4199
4920000,20,36.1209,-14801.3,27.5481,0.418775
4930000,17,30.8604,-14810.5,17.748,0.4398
4940000,19,33.4239,-14818.9,19.4484,0.4171
4950000,14,26.1076,-14828.3,18.7685,0.4235
4960000,19,28.295,-14839.1,19.2841,0.40412
4970000,19,31.6679,-14826.2,14.8464,0.42455
4980000,20,27.3025,-14811.4,19.5197,0.412356
4990000,18,27.6264,-14828.2,25.9279,0.4054
5000000,19,30.5292,-14815.8,15.2454,0.3996
5010000,18,33.4887,-14821.2,18.2319,0.43965
5020000,17,27.545,-14823.4,16.9646,0.4368
5030000,25,36.9924,-14825.9,22.4518,0.432
5040000,21,30.1688,-14813.6,17.9686,0.43115
5050000,20,35.2451,-14817.7,19.6212,0.41374
5060000,18,30.3547,-14828.5,16.941,0.4009
5070000,19,32.7995,-14821.2,22.1977,0.416725
5080000,20,33.8057,-14817.4,24.4671,0.4262
5090000,16,24.3075,-14824.2,14.0198,0.424532
5100000,18,29.0744,-14827.6,21.6073,0.438417
5110000,20,33.2885,-14826.2,21.1632,0.435067
5120000,13,25.4874,-14818.4,10.235,0.42655
5130000,22,40.8905,-14826.4,22.7902,0.43325
5140000,14,26.2325,-14809.4,11.9446,0.4492
5150000,14,25.7553,-14822.8,15.3654,0.436717
5160000,19,25.804,-14819.3,36.0087,0.4148
5170000,13,24.9641,-14823.4,16.3072,0.4385
5180000,17,29.8744,-14827.9,14.263,0.426575
5190000,13,24.8271,-14825.6,15.8367,0.40865
5200000,21,25.9242,-14822.7,19.6324,0.42074
5210000,20,29.0145,-14811.6,21.2989,0.42148
5220000,17,26.6016,-14848.5,25.7696,0.395725
5230000,17,29.7515,-14811.4,18.1789,0.405375
5240000,16,28.7096,-14814.7,12.8579,0.4271
5250000,15,24.3223,-14806.5,18.6195,0.4293
5260000,18,29.2648,-14827,15.356,0.41158
5270000,21,32.7208,-14830,21.1356,0.4158
