Tip_label f
Physcia_adscendens 0.03
Physcia_aipolia 0.03
Physcia_alba 0.03
Physcia_albinea 0.03
Physcia_alnophila 0.03
Physcia_atrostriata 0.03
Physcia_austrostellaris 0.03
Physcia_biziana 0.03
Physcia_caesia 0.03
Physcia_dimidiata 0.03
Physcia_dubia 0.03
Physcia_erumpens 0.03
Physcia_integrata 0.03
Physcia_jackii 0.03
Physcia_kalbii 0.03
Physcia_krogiae 0.03
Physcia_leptalea 0.03
Physcia_magnussonii 0.03
Physcia_millegrana 0.03
Physcia_nubila 0.03
Physcia_orientalis 0.03
Physcia_phaea 0.03
Physcia_semipinnata 0.03
Physcia_sorediosa 0.03
Physcia_stellaris 0.03
Physcia_subalbinea 0.03
Physcia_tenella 0.03
Physcia_tribacia 0.03
Physcia_tropica 0.03
Physcia_undulata 0.03
Physciella_chloantha 0.03
Physconia_americana 0.03
Physconia_detersa 0.03
Physconia_distorta 0.03
Physconia_elegantula 0.03
Physconia_enteroxantha 0.03
Physconia_grisea 0.03
Physconia_grumosa 0.03
Physconia_isidiigera 0.03
Physconia_kurokawae 0.03
Physconia_leucoleiptes 0.03
Physconia_muscigena 0.03
Physconia_perisidiosa 0.03
Physconia_servitii 0.03
Physconia_subpulverulenta 0.03
Physconia_thorstenii 0.03
Physconia_venusta 0.03
Rinodina_alba 0.03
Rinodina_albana 0.03
Rinodina_atrocinerea 0.03
Rinodina_bischoffii 0.03
Rinodina_cacaotina 0.03
Rinodina_calcarea 0.03
Rinodina_candidogrisea 0.03
Rinodina_capensis 0.03
Rinodina_confragosa 0.03
Rinodina_exigua 0.03
Rinodina_gallowayi 0.03
Rinodina_gennarii 0.03
Rinodina_herteliana 0.03
Rinodina_immersa 0.03
Rinodina_interpolata 0.03
Rinodina_jamesii 0.03
Rinodina_lecanorina 0.03
Rinodina_lepida 0.03
Rinodina_luridata 0.03
Rinodina_luridescens 0.03
Rinodina_milvina 0.03
Rinodina_mniaraea 0.03
Rinodina_nimisii 0.03
Rinodina_obnascens 0.03
Rinodina_oleae 0.03
Rinodina_olivaceobrunnea 0.03
Rinodina_oxydata 0.03
Rinodina_plana 0.03
Rinodina_pyrina 0.03
Rinodina_reagens 0.03
Rinodina_sophodes 0.03
Rinodina_teichophila 0.03
Rinodina_tephraspis 0.03
Rinodina_tunicata 0.03
Rinodina_turfacea 0.03
Rinodina_zwackhiana 0.03
Rinodinella_controversa 0.03
Rinodinella_dubyanoides 0.03
Tornabea_scutellifera 0.03
Catillaria_chalybeia 0.01
Catinaria_atropurpurea 0.01
Clauzadea_monticola 0.02
Calycidium_cuneatum 0.03
Carbonicola_anthracophila 0.07
Hypocenomyce_castaneocinerea 0.07
Carassea_connexa 0.04
Cladia_aggregata 0.04
Cladia_corallaizon 0.04
Cladia_deformis 0.04
Cladia_dumicola 0.04
Cladia_ferdinandii 0.04
Cladia_fuliginosa 0.04
Cladia_inflata 0.04
Cladia_moniliformis 0.04
Cladia_retipora 0.04
Cladia_schizopora 0.04
Cladia_sullivanii 0.04
Cladonia_acuminata 0.04
Cladonia_ahtii 0.04
Cladonia_albofuscescens 0.04
Cladonia_amaurocraea 0.04
Cladonia_anaemica 0.04
Cladonia_andesita 0.04
Cladonia_apodocarpa 0.04
Cladonia_arbuscula 0.04
Cladonia_argentea 0.04
Cladonia_asahinae 0.04
Cladonia_atlantica 0.04
Cladonia_bacilliformis 0.04
Cladonia_bahiana 0.04
Cladonia_beaumontii 0.04
Cladonia_bellidiflora 0.04
Cladonia_borbonica 0.04
Cladonia_borealis 0.04
Cladonia_boryi 0.04
